date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:46	56778/56778	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Jan%202020%2006:25:46%20GMT	https://radiustheme.com/demo/html/fixer/fixer/index.html	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/index.html	(from )
11:55:48	69/69	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Jan%202020%2006:25:47%20GMT	https://radiustheme.com/robots.txt		(from )
11:55:49	2892/2892	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Sep%202019%2008:54:48%20GMT	https://radiustheme.com/demo/html/fixer/fixer/img/favicon.png	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/img/favicon.png	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:55:50	6138/6138	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:28%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/normalize.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/normalize.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:55:51	6095/6095	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:51%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/main.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/main.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:55:54	155758/155758	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:23%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/bootstrap.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/bootstrap.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:04	2527/2527	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:26%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/meanmenu.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/meanmenu.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:07	51215/51215	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:24%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/fontawesome-all.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/fontawesome-all.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:07	52789/52789	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:23%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/animate.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/animate.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:08	2304/2304	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:34%20GMT	https://radiustheme.com/demo/html/fixer/fixer/font/flaticon.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/font/flaticon.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:10	15180/15180	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:29%20GMT	https://radiustheme.com/demo/html/fixer/fixer/css/select2.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/css/select2.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:10	1013/1013	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:58:04%20GMT	https://radiustheme.com/demo/html/fixer/fixer/vendor/OwlCarousel/owl.theme.default.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/vendor/OwlCarousel/owl.theme.default.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:13	3351/3351	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:58:03%20GMT	https://radiustheme.com/demo/html/fixer/fixer/vendor/OwlCarousel/owl.carousel.min.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/vendor/OwlCarousel/owl.carousel.min.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:28	283662/283662	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Sep%202019%2008:54:14%20GMT	https://radiustheme.com/demo/html/fixer/fixer/style.css	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/style.css	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:34	8599/8599	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2025%20Sep%202019%2008:55:08%20GMT	https://radiustheme.com/demo/html/fixer/fixer/js/modernizr-3.7.1.min.js	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/js/modernizr-3.7.1.min.js	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
11:56:35	5729/5729	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Sep%202019%2008:54:54%20GMT	https://radiustheme.com/demo/html/fixer/fixer/img/main-logo.png	E:/service%20providing%20system1/radiustheme.com/demo/html/fixer/fixer/img/main-logo.png	(from https://radiustheme.com/demo/html/fixer/fixer/index.html)
